"runnerUri","fullname","time","rank","nationality","nationalityCode","index","ageGroup","gender"
"532620.henrik.hult","Henrik HULT","16:12:40",1,"Sweden","SE",,"45-49","H"
"4301451.andreas.truskog","Andréas TRUSKOG","16:19:17",2,"Sweden","SE",,"35-39","H"
"1087605.conny.svahn","Conny SVAHN","16:43:27",3,"Sweden","SE",,"45-49","H"
"2457287.oscar.sjolander","Oscar SJÖLANDER","16:48:12",4,"Sweden","SE",,"50-54","H"
"37084.emil.soderlund","Emil SODERLUND","17:16:51",5,"Finland","FI",,"45-49","H"
"508303.jenny.josefsson","Jenny JOSEFSSON","18:51:54",6,"Sweden","SE",,"45-49","F"
"437972.peter.mickos","Peter MICKOS","19:08:16",7,"Sweden","SE",,"55-59","H"
"150934.jakob.bokman","Jakob BÖKMAN","19:13:07",8,"Sweden","SE",,"55-59","H"
"1087651.oskar.ernving","Oskar ERNVING","19:21:06",9,"Sweden","SE",,"35-39","H"
"438648.madeleine.wennberg","Madeleine WENNBERG","19:27:49",10,"Sweden","SE",,"35-39","F"
"2271117.fredrik.hallberg","Fredrik HALLBERG","19:29:24",11,"Sweden","SE",,"45-49","H"
"1779493.peter.almroth","Peter ALMROTH","19:41:15",12,"Sweden","SE",,"40-44","H"
"508271.joakim.johansson","Joakim JOHANSSON","19:48:47",13,"Sweden","SE",,"35-39","H"
"4715724.galen.mack","Galen MACK","20:00:35",14,"Australia","AU",,"40-44","H"
"508777.anders.noren","Anders NOREN","20:16:51",15,"Sweden","SE",,"50-54","H"
"1036285.patrik.stromback","Patrik STRÖMBÄCK","20:17:35",16,"Sweden","SE",,"50-54","H"
"1087843.daniel.granstrom","Daniel GRANSTRÖM","20:42:28",17,"Sweden","SE",,"45-49","H"
"3977477.linda.wiese","Linda WIESE","21:11:14",18,"Sweden","SE",,"40-44","F"
"4383918.philip.thor","Philip THOR","21:17:52",19,"Sweden","SE",,"40-44","H"
"1858663.bjorn.persson","Björn PERSSON","21:21:51",20,"Sweden","SE",,"35-39","H"
"691554.anders.holgersson","Anders HOLGERSSON","21:36:35",21,"Sweden","SE",,"50-54","H"
"4193953.christian.borg","Christian BORG","21:40:56",22,"Sweden","SE",,"35-39","H"
"1960317.hakan.sandberg","Håkan SANDBERG","22:01:58",23,"Sweden","SE",,"45-49","H"
"1379679.dan.fallqvist","Dan FALLQVIST","22:04:05",24,"Sweden","SE",,"50-54","H"
"2271169.johan.bengtsson","Johan BENGTSSON","22:10:07",25,"Sweden","SE",,"45-49","H"
"665790.markus.spangberg","Markus SPÅNGBERG","10:16:22",1,"Sweden","SE",,"45-49","H"
"4571546.goran.latva","Göran LATVA","11:30:17",2,"Sweden","SE",,"50-54","H"
"55231.hoskuldur.kristvinsson","Höskuldur KRISTVINSSON","15:37:51",3,"Iceland","IS",,"70-74","H"
"4383934.nicklas.larsson","Nicklas LARSSON",,,"Sweden","SE",,"50-54","H"
"551608.patrik.lindegardh","Patrik LINDEGARDH","05:45:07",1,"Sweden","SE",,"40-44","H"
"696351.anders.kleist","Anders KLEIST","06:01:33",2,"Sweden","SE",,"40-44","H"
"551623.magnus.rabe","Magnus RABE","06:16:19",3,"Sweden","SE",,"35-39","H"
"1843273.jakob.aberg","Jakob ÅBERG (Jakob ABERG)","06:17:02",4,"Sweden","SE",,"20-34","H"
"1003151.simon.bloss","Simon BLOSS","06:25:38",5,"Sweden","SE",,"20-34","H"
"3660595.daniel.branholm","Daniel BRANHOLM","06:29:52",6,"Sweden","SE",,"35-39","H"
"2111075.johanna.gelfgren","Johanna GELFGREN","06:40:39",7,"Sweden","SE",,"20-34","F"
"4445130.jimmy.voxek","Jimmy VOXEK","06:40:44",8,"Sweden","SE",,"45-49","H"
"4002838.rasmus.nilsson","Rasmus NILSSON","06:49:51",9,"Sweden","SE",,"20-34","H"
"2210715.fredrik.sigurd","Fredrik SIGURD","06:58:31",10,"Sweden","SE",,"45-49","H"
"1003179.johan.hartelius","Johan HARTELIUS","07:00:38",11,"Sweden","SE",,"40-44","H"
"4445132.simon.johansson","Simon JOHANSSON","07:06:32",12,"Sweden","SE",,"20-34","H"
"495832.karin.nilsson","Karin NILSSON","07:06:44",13,"Sweden","SE",,"40-44","F"
"1036615.lisa.ring","Lisa RING","07:07:54",14,"Sweden","SE",,"20-34","F"
"4445134.marcus.jansson","Marcus JANSSON","07:10:40",15,"Sweden","SE",,"45-49","H"
"620384.patrik.hillerstrom","Patrik HILLERSTROM","07:17:58",16,"Sweden","SE",,"50-54","H"
"3335691.nicolas.delvecchio","Nicolas DEL VECCHIO","07:19:13",17,"France","FR",,"20-34","H"
"2126737.anders.dahlgren","Anders DAHLGREN","07:25:38",18,"Sweden","SE",,"35-39","H"
"4227669.petra.klevmar","Petra KLEVMAR","07:26:13",19,"Sweden","SE",,"50-54","F"
"2174529.arild.bendiksen","Arild BENDIKSEN","07:30:49",20,"Sweden","SE",,"50-54","H"
"861347.fredrik.hagfjall","Fredrik HAGFJÄLL","07:32:11",21,"Sweden","SE",,"20-34","H"
"2210769.anders.jansson","Anders JANSSON","07:39:51",22,"Sweden","SE",,"40-44","H"
"574253.henrik.karlsson","Henrik KARLSSON","07:39:57",23,"Sweden","SE",,"45-49","H"
"235190.fredrik.larsson","Fredrik LARSSON","07:42:06",24,"Sweden","SE",,"50-54","H"
"1634399.johan.ekenstierna","Johan EKENSTIERNA","07:43:21",25,"Sweden","SE",,"45-49","H"
"3342579.malin.barrulf","Malin BARRULF","05:47:12",1,"Sweden","SE",,"20-34","F"
"1634383.maja.falk","Maja FALK","06:09:48",2,"Sweden","SE",,"20-34","F"
"508259.kenneth.lofman","Kenneth LOFMAN","06:20:13",3,"Sweden","SE",,"45-49","H"
"1036675.anna.stahlkloo","Anna STÅHLKLOO","06:24:40",4,"Sweden","SE",,"45-49","F"
"1630619.maria.saxvall","Maria SAXVALL","06:40:27",5,"Sweden","SE",,"40-44","F"
"508374.tomas.stot","Tomas STÖT","07:51:39",6,"Sweden","SE",,"50-54","H"
"1619741.per.eriksson","Per ERIKSSON",,,"Sweden","SE",,"40-44","H"
"665445.marcus.ekenstierna","Marcus EKENSTIERNA",,,"Sweden","SE",,"35-39","H"
"410664.enar.warfvinge","Enar WARFVINGE","24:38:05",1,"Sweden","SE",,"40-44","H"
"4301448.oscar.isaksson","Oscar ISAKSSON","24:52:13",2,"Sweden","SE",,"20-34","H"
"4549408.joonas.ahola","Joonas AHOLA","25:07:33",3,"Finland","FI",,"50-54","H"
"37046.sandra.lundqvist","Sandra LUNDQVIST","25:43:46",4,"Sweden","SE",,"45-49","F"
"532624.dan.valitalo","Dan VÄLITALO","25:43:53",5,"Sweden","SE",,"50-54","H"
"37044.anna.grundahl","Anna GRUNDAHL","25:43:57",6,"Sweden","SE",,"45-49","F"
"508777.anders.noren","Anders NOREN","26:13:04",7,"Sweden","SE",,"50-54","H"
