"id","eventName","name","category","themeColor","themeColorIsDark","logoWs","url","distance","elevationGain","hasResults","uriResults","startDate","startCountry","startPlace","year","level","nbStones"
96912,"GotRun Trail Fest","""ENKLE"" 50 miles","50k","#fc5a00",true,"/Common/categories/qualifiers50K","https://runraisers.com/","80.85",594,true,"27363.gotruntrailfest-enkle-50miles.2024","2024-Mar-16","SE","Ljugarn, Sweden",2024,"qualifier",0
101010,"Österlen Spring Trail","ÖST Ultra 60km","50k","#fc5a00",true,"/Common/categories/qualifiers50K","http://www.osterlentrail.se","60.70",1140,true,"10495.osterlenspringtrailostultra60km.2024","2024-Apr-13","SE","Simrishamn, Sweden",2024,"qualifier",0
93462,"Täby Extreme Challenge","TEC 200 Miles","100m","#f42525",true,"/Common/categories/qualifiers100M","http://new.tec100.se","321.50",3220,false,"7419.tabyextremechallengetec200miles.2024","2024-Apr-19","SE","Täby, Sweden",2024,"qualifier",0
93458,"Täby Extreme Challenge","TEC 50 Miles","50k","#fc5a00",true,"/Common/categories/qualifiers50K","http://new.tec100.se","80.30",810,false,"666.tabyextremechallengetec50miles.2024","2024-Apr-20","SE","Täby, Sweden",2024,"qualifier",0
93460,"Täby Extreme Challenge","TEC 100 Miles","100m","#f42525",true,"/Common/categories/qualifiers100M","http://new.tec100.se","160.70",1610,false,"668.tabyextremechallengetec100miles.2024","2024-Apr-20","SE","Täby, Sweden",2024,"qualifier",0
93472,"Täby Extreme Challenge","TEC 46km","50k","#fc5a00",true,"/Common/categories/qualifiers50K","http://new.tec100.se","46.00",504,false,"39252.tabyextremechallengetec46km.2024","2024-Apr-21","SE","Täby, Sweden",2024,"qualifier",0
101638,"Backen i trädgården","Backen i trädgården","50k","#fc5a00",true,"/Common/categories/qualifiers50K","https://www.facebook.com/events/592175675167438","45.00",3300,true,"33576.backenitradgardenbackenitradgarden.2024","2024-May-01","SE","Älvdalen, Sweden",2024,"qualifier",0
101634,"UKA PAIN","Uka Pain 100 Miles","100m","#f42525",true,"/Common/categories/qualifiers100M","https://swedenrunners.se/uka-pain-ultra/","169.80",3810,true,"22889.ukapainukapain100miles.2024","2024-May-24","SE","Evertsberg, Sweden",2024,"qualifier",0
101632,"UKA PAIN","UKA PAIN 100 K","100k","#7ddf65",true,"/Common/categories/qualifiers100K","https://swedenrunners.se/uka-pain-ultra/","100.00",3000,true,"18865.ukapainukapain100k.2024","2024-May-24","SE","Älvdalen, Sweden",2024,"qualifier",0
101630,"UKA PAIN","UKA PAIN 50 K","50k","#fc5a00",true,"/Common/categories/qualifiers50K","https://swedenrunners.se/uka-pain-ultra/","50.00",1500,true,"18867.ukapainukapain50k.2024","2024-May-25","SE","Älvdalen, Sweden",2024,"qualifier",0
